stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech	chd_sea
216	1	1	0	0.00048898	1.217785252
217	1	1	0	0.00047668	0.837911691
218	1	1	0	0.00044957	0.422088309
219	1	1	0	0.00041335	0.042214748
220	1	1	0	0.00035627	-0.236025404
221	1	1	0	0.00030897	-0.364521895
222	1	1	0	0.00028005	-0.321056516
223	1	1	0	0.0002629	-0.113144825
224	1	1	0	0.0002499	0.223263357
225	1	1	0	0.00024158	0.63
226	1	1	0	0.00024295	1.036736643
227	1	1	0	0.00025445	1.373144825
228	1	1	0	0.00038965	1.581056516
229	1	1	0	0.00044655	1.624521895
230	1	1	0	0.0004408	1.496025404
231	1	1	0	0.0003826	1.217785252
232	1	1	0	0.00032768	0.837911691
233	1	1	0	0.00050055	0.422088309
234	1	1	0	0.00078235	0.042214748
235	1	1	0	0.0008768	-0.236025404
236	1	1	0	0.0010356	-0.364521895
237	1	1	0	0.0012052	-0.321056516
238	1	1	0	0.0013293	-0.113144825
239	1	1	0	0.0013278	0.223263357
240	1	1	0	0.0012782	0.63
241	1	1	0	0.001199	1.036736643
242	1	1	0	0.0011697	1.373144825
243	1	1	0	0.001195	1.581056516
244	1	1	0	0.0011545	1.624521895
245	1	1	0	0.00099972	1.496025404
246	1	1	0	0.00074835	1.217785252
247	1	1	0	0.000549	0.837911691
248	1	1	0	0.00042192	0.422088309
249	1	1	0	0.00033973	0.042214748
250	1	1	0	0.00028557	-0.236025404
251	1	1	0	0.0002519	-0.364521895
252	1	1	0	0.00023748	-0.321056516
253	1	1	0	0.00023423	-0.113144825
254	1	1	0	0.00023423	0.223263357
255	1	1	0	0.00023423	0.63
256	1	1	0	0.00023423	1.036736643
257	1	1	0	0.00023423	1.373144825
258	1	1	0	0.0002342	1.581056516
259	1	1	0	0.00023415	1.624521895
260	1	1	0	0.00023407	1.496025404
261	1	1	0	0.000234	1.217785252
262	1	1	0	0.00023395	0.837911691
263	1	1	0	0.00023387	0.422088309
264	1	1	0	0.00023377	0.042214748
265	1	1	0	0.0002336	-0.236025404
266	1	1	0	0.00023343	-0.364521895
267	1	1	0	0.00023325	-0.321056516
268	1	1	0	0.00023305	-0.113144825
269	1	1	0	0.00023288	0.223263357
270	1	1	0	0.00023267	0.63
271	1	1	0	0.00023253	1.036736643
272	1	1	0	0.00023235	1.373144825
273	1	1	0	0.00023222	1.581056516
274	1	1	0	0.0002321	1.624521895
275	1	1	0	0.00023193	1.496025404
276	1	1	0	0.00023178	1.217785252
277	1	1	0	0.00023163	0.837911691
278	1	1	0	0.00023145	0.422088309
279	1	1	0	0.00023128	0.042214748
280	1	1	0	0.00023107	-0.236025404
281	1	1	0	0.00023085	-0.364521895
282	1	1	0	0.0002307	-0.321056516
283	1	1	0	0.00023048	-0.113144825
284	1	1	0	0.00023025	0.223263357
285	1	1	0	0.00023002	0.63
286	1	1	0	0.0002298	1.036736643
287	1	1	0	0.00022958	1.373144825
288	1	1	0	0.00022933	1.581056516
289	1	1	0	0.0002291	1.624521895
290	1	1	0	0.00022887	1.496025404
291	1	1	0	0.00022862	1.217785252
292	1	1	0	0.00022838	0.837911691
293	1	1	0	0.00022808	0.422088309
294	1	1	0	0.00022782	0.042214748
295	1	1	0	0.00022758	-0.236025404
296	1	1	0	0.00022732	-0.364521895
297	1	1	0	0.00022705	-0.321056516
298	1	1	0	0.00022675	-0.113144825
299	1	1	0	0.0002265	0.223263357
300	1	1	0	0.00022625	0.63
301	1	1	0	0.00022595	1.036736643
302	1	1	0	0.0002257	1.373144825
303	1	1	0	0.00022543	1.581056516
304	1	1	0	0.00022515	1.624521895
305	1	1	0	0.0002249	1.496025404
306	1	1	0	0.0002246	1.217785252
307	1	1	0	0.00022435	0.837911691
308	1	1	0	0.0002241	0.422088309
309	1	1	0	0.00022382	0.042214748
310	1	1	0	0.0002236	-0.236025404
311	1	1	0	0.00022332	-0.364521895
312	1	1	0	0.00022305	-0.321056516
313	1	1	0	0.00022283	-0.113144825
314	1	1	0	0.00022258	0.223263357
315	1	1	0	0.0002223	0.63
316	1	1	0	0.00022202	1.036736643
317	1	1	0	0.00022178	1.373144825
318	1	1	0	0.0002215	1.581056516
319	1	1	0	0.00022125	1.624521895
320	1	1	0	0.00022097	1.496025404
321	1	1	0	0.00022072	1.217785252
322	1	1	0	0.00022048	0.837911691
323	1	1	0	0.00022023	0.422088309
324	1	1	0	0.00021995	0.042214748
325	1	1	0	0.00021972	-0.236025404
326	1	1	0	0.00021945	-0.364521895
327	1	1	0	0.00021918	-0.321056516
328	1	1	0	0.00021895	-0.113144825
329	1	1	0	0.0002187	0.223263357
330	1	1	0	0.00021845	0.63
331	1	1	0	0.0002182	1.036736643
332	1	1	0	0.00021793	1.373144825
333	1	1	0	0.0002177	1.581056516
334	1	1	0	0.00021745	1.624521895
335	1	1	0	0.00021722	1.496025404
336	1	1	0	0.00021698	1.217785252
337	1	1	0	0.00021675	0.837911691
338	1	1	0	0.0002165	0.422088309
339	1	1	0	0.00021625	0.042214748
340	1	1	0	0.00021603	-0.236025404
341	1	1	0	0.0002158	-0.364521895
342	1	1	0	0.00021555	-0.321056516
343	1	1	0	0.00021533	-0.113144825
344	1	1	0	0.0002151	0.223263357
345	1	1	0	0.00021488	0.63
346	1	1	0	0.00021463	1.036736643
347	1	1	0	0.00021445	1.373144825
348	1	1	0	0.00021425	1.581056516
349	1	1	0	0.00021397	1.624521895
350	1	1	0	0.00021378	1.496025404
351	1	1	0	0.0002136	1.217785252
352	1	1	0	0.0002134	0.837911691
353	1	1	0	0.0002132	0.422088309
354	1	1	0	0.00021302	0.042214748
355	1	1	0	0.00021282	-0.236025404
356	1	1	0	0.0002126	-0.364521895
357	1	1	0	0.00021243	-0.321056516
358	1	1	0	0.00021223	-0.113144825
359	1	1	0	0.00021205	0.223263357
360	1	1	0	0.00021185	0.63
361	1	1	0	0.00021168	1.036736643
362	1	1	0	0.00021148	1.373144825
363	1	1	0	0.00021125	1.581056516
364	1	1	0	0.00021105	1.624521895
365	1	1	0	0.00021085	1.496025404
366	1	1	0	0.00021067	1.217785252
367	1	1	0	0.00021045	0.837911691
368	1	1	0	0.00021028	0.422088309
369	1	1	0	0.00021008	0.042214748
370	1	1	0	0.00020987	-0.236025404
371	1	1	0	0.00020968	-0.364521895
372	1	1	0	0.00020947	-0.321056516
373	1	1	0	0.00020928	-0.113144825
374	1	1	0	0.00020913	0.223263357
375	1	1	0	0.00020895	0.63
376	1	1	0	0.00020877	1.036736643
377	1	1	0	0.00020868	1.373144825
378	1	1	0	0.0002085	1.581056516
379	1	1	0	0.0002084	1.624521895
380	1	1	0	0.00020825	1.496025404
381	1	1	0	0.00020815	1.217785252
382	1	1	0	0.000208	0.837911691
383	1	1	0	0.0002079	0.422088309
384	1	1	0	0.0002078	0.042214748
385	1	1	0	0.00020767	-0.236025404
386	1	1	0	0.0002076	-0.364521895
387	1	1	0	0.00020753	-0.321056516
388	1	1	0	0.00020745	-0.113144825
389	1	1	0	0.00020738	0.223263357
390	1	1	0	0.0002073	0.63
391	1	1	0	0.0002072	1.036736643
392	1	1	0	0.00020708	1.373144825
393	1	1	0	0.00020698	1.581056516
394	1	1	0	0.0002069	1.624521895
395	1	1	0	0.00020675	1.496025404
396	1	1	0	0.00020665	1.217785252
397	1	1	0	0.0002065	0.837911691
398	1	1	0	0.0002064	0.422088309
399	1	1	0	0.00020625	0.042214748
400	1	1	0	0.00020615	-0.236025404
401	1	1	0	0.00020607	-0.364521895
402	1	1	0	0.00020592	-0.321056516
403	1	1	0	0.00020585	-0.113144825
404	1	1	0	0.00020575	0.223263357
405	1	1	0	0.00020562	0.63
406	1	1	0	0.00020553	1.036736643
407	1	1	0	0.0002054	1.373144825
408	1	1	0	0.0002053	1.581056516
409	1	1	0	0.00020522	1.624521895
410	1	1	0	0.00020515	1.496025404
411	1	1	0	0.000205	1.217785252
412	1	1	0	0.00020495	0.837911691
413	1	1	0	0.00020488	0.422088309
414	1	1	0	0.00020478	0.042214748
415	1	1	0	0.00020465	-0.236025404
416	1	1	0	0.00020455	-0.364521895
417	1	1	0	0.00020445	-0.321056516
418	1	1	0	0.00020435	-0.113144825
419	1	1	0	0.00020425	0.223263357
420	1	1	0	0.00020417	0.63
421	1	1	0	0.00020407	1.036736643
422	1	1	0	0.00020403	1.373144825
423	1	1	0	0.00020395	1.581056516
424	1	1	0	0.00020388	1.624521895
425	1	1	0	0.0002038	1.496025404
426	1	1	0	0.00020373	1.217785252
427	1	1	0	0.00020365	0.837911691
428	1	1	0	0.00020353	0.422088309
429	1	1	0	0.00020345	0.042214748
430	1	1	0	0.00020338	-0.236025404
431	1	1	0	0.00020327	-0.364521895
432	1	1	0	0.00020317	-0.321056516
433	1	1	0	0.00020307	-0.113144825
434	1	1	0	0.000203	0.223263357
435	1	1	0	0.0002029	0.63
436	1	1	0	0.00020283	1.036736643
437	1	1	0	0.00020275	1.373144825
438	1	1	0	0.00020268	1.581056516
439	1	1	0	0.00020263	1.624521895
440	1	1	0	0.00020252	1.496025404
441	1	1	0	0.00020245	1.217785252
442	1	1	0	0.00020233	0.837911691
443	1	1	0	0.00020225	0.422088309
444	1	1	0	0.0002022	0.042214748
445	1	1	0	0.00020212	-0.236025404
446	1	1	0	0.00020208	-0.364521895
447	1	1	0	0.00020202	-0.321056516
448	1	1	0	0.00020198	-0.113144825
449	1	1	0	0.0002019	0.223263357
450	1	1	0	0.00020185	0.63
451	1	1	0	0.00020177	1.036736643
452	1	1	0	0.00020173	1.373144825
453	1	1	0	0.00020165	1.581056516
454	1	1	0	0.00020158	1.624521895
455	1	1	0	0.00020145	1.496025404
456	1	1	0	0.00020135	1.217785252
457	1	1	0	0.0002013	0.837911691
458	1	1	0	0.00020123	0.422088309
459	1	1	0	0.00020108	0.042214748
460	1	1	0	0.000201	-0.236025404
461	1	1	0	0.00020087	-0.364521895
462	1	1	0	0.00020077	-0.321056516
463	1	1	0	0.00020068	-0.113144825
464	1	1	0	0.00020057	0.223263357
465	1	1	0	0.00020048	0.63
466	1	1	0	0.00020037	1.036736643
467	1	1	0	0.0002003	1.373144825
468	1	1	0	0.0002002	1.581056516
469	1	1	0	0.00020008	1.624521895
470	1	1	0	0.0002	1.496025404
471	1	1	0	0.00019987	1.217785252
472	1	1	0	0.00019977	0.837911691
473	1	1	0	0.00019968	0.422088309
474	1	1	0	0.00019957	0.042214748
475	1	1	0	0.00019948	-0.236025404
476	1	1	0	0.00019938	-0.364521895
477	1	1	0	0.00019933	-0.321056516
478	1	1	0	0.0001992	-0.113144825
479	1	1	0	0.00019913	0.223263357
480	1	1	0	0.00019905	0.63
481	1	1	0	0.00019893	1.036736643
482	1	1	0	0.00019885	1.373144825
483	1	1	0	0.00019877	1.581056516
484	1	1	0	0.0001987	1.624521895
485	1	1	0	0.00019865	1.496025404
486	1	1	0	0.00019857	1.217785252
487	1	1	0	0.0001985	0.837911691
488	1	1	0	0.00019845	0.422088309
489	1	1	0	0.00019838	0.042214748
490	1	1	0	0.00019832	-0.236025404
491	1	1	0	0.00019825	-0.364521895
492	1	1	0	0.00019827	-0.321056516
493	1	1	0	0.00019822	-0.113144825
494	1	1	0	0.00019818	0.223263357
495	1	1	0	0.00019813	0.63
496	1	1	0	0.00019808	1.036736643
497	1	1	0	0.00019808	1.373144825
498	1	1	0	0.00019805	1.581056516
499	1	1	0	0.00019798	1.624521895
500	1	1	0	0.00019793	1.496025404
501	1	1	0	0.00019788	1.217785252
502	1	1	0	0.00019785	0.837911691
503	1	1	0	0.00019783	0.422088309
504	1	1	0	0.00019778	0.042214748
505	1	1	0	0.0001977	-0.236025404
506	1	1	0	0.00019765	-0.364521895
507	1	1	0	0.00019758	-0.321056516
508	1	1	0	0.00019755	-0.113144825
509	1	1	0	0.0001975	0.223263357
510	1	1	0	0.00019742	0.63
511	1	1	0	0.0001974	1.036736643
512	1	1	0	0.00019733	1.373144825
513	1	1	0	0.00019728	1.581056516
514	1	1	0	0.0001972	1.624521895
515	1	1	0	0.00019715	1.496025404
516	1	1	0	0.0001971	1.217785252
517	1	1	0	0.00019705	0.837911691
518	1	1	0	0.00019698	0.422088309
519	1	1	0	0.00019703	0.042214748
520	1	1	0	0.00019708	-0.236025404
521	1	1	0	0.00019723	-0.364521895
522	1	1	0	0.00019743	-0.321056516
523	1	1	0	0.00019778	-0.113144825
524	1	1	0	0.00019837	0.223263357
525	1	1	0	0.0001991	0.63
526	1	1	0	0.00019987	1.036736643
527	1	1	0	0.00020068	1.373144825
528	1	1	0	0.00020138	1.581056516
529	1	1	0	0.00020223	1.624521895
530	1	1	0	0.0002035	1.496025404
531	1	1	0	0.00025792	1.217785252
532	1	1	0	0.00050672	0.837911691
533	1	1	0	0.00087478	0.422088309
534	1	1	0	0.0012287	0.042214748
535	1	1	0	0.0014895	-0.236025404
536	1	1	0	0.001972	-0.364521895
537	1	1	0	0.0025267	-0.321056516
538	1	1	0	0.0034315	-0.113144825
539	1	1	0	0.003936	0.223263357
540	1	1	0	0.0039895	0.63
541	1	1	0	0.003854	1.036736643
542	1	1	0	0.0035438	1.373144825
543	1	1	0	0.0031653	1.581056516
544	1	1	0	0.0027445	1.624521895
545	1	1	0	0.0023315	1.496025404
546	1	1	0	0.0019865	1.217785252
547	1	1	0	0.0018138	0.837911691
548	1	1	0	0.0021082	0.422088309
549	1	1	0	0.0024833	0.042214748
550	1	1	0	0.0029325	-0.236025404
551	1	1	0	0.0030268	-0.364521895
552	1	1	0	0.0030003	-0.321056516
553	1	1	0	0.002821	-0.113144825
554	1	1	0	0.002581	0.223263357
555	1	1	0	0.002311	0.63
556	1	1	0	0.0020913	1.036736643
557	1	1	0	0.001886	1.373144825
558	1	1	0	0.0016785	1.581056516
559	1	1	0	0.0014548	1.624521895
560	1	1	0	0.0012312	1.496025404
561	1	1	0	0.0010055	1.217785252
562	1	1	0	0.00078285	0.837911691
563	1	1	0	0.00058398	0.422088309
564	1	1	0	0.0004489	0.042214748
565	1	1	0	0.0003632	-0.236025404
566	1	1	0	0.00031035	-0.364521895
567	1	1	0	0.00027942	-0.321056516
568	1	1	0	0.00029363	-0.113144825
569	1	1	0	0.0003206	0.223263357
570	1	1	0	0.0003726	0.63
571	1	1	0	0.0003942	1.036736643
572	1	1	0	0.00040418	1.373144825
573	1	1	0	0.00042147	1.581056516
574	1	1	0	0.0004624	1.624521895
